file,total,afd,cdu,spd,csu,fdp,linke,gruene,grüne,wahlkampf,merkel,flüchtlinge,refugees,asyl,btw17,btw2017,schulz,schulztrain,schulzzug,stmartin
"~/tweets/germany_2017_07_26_22_00_02.json","6116","377","141","168","101","2458","67","13","29","30","623","108","1108","145","58","8","120","0","1","0"
"~/tweets/germany_2017_07_26_23_00_01.json","5204","333","101","89","91","2462","40","8","38","17","529","58","821","74","50","9","88","0","1","0"
"~/tweets/germany_2017_07_27_00_00_02.json","5657","147","54","65","86","3324","31","9","18","10","317","21","803","57","19","7","174","0","0","1"
"~/tweets/germany_2017_07_27_01_00_01.json","11460","107","25","107","127","8196","59","5","10","8","298","29","1496","43","8","1","186","0","0","0"
"~/tweets/germany_2017_07_27_02_00_00.json","16282","109","17","113","65","13742","15","1","8","2","261","47","840","24","4","1","115","0","0","0"
"~/tweets/germany_2017_07_27_03_00_02.json","5049","95","46","73","57","2903","18","3","17","13","248","46","830","39","3","2","102","0","0","0"
"~/tweets/germany_2017_07_27_04_00_01.json","3832","245","66","100","62","1641","46","10","17","23","332","108","652","97","44","16","106","0","0","1"
"~/tweets/germany_2017_07_27_05_00_01.json","4170","401","111","172","86","1055","89","15","41","49","625","113","690","152","62","11","152","0","0","0"
"~/tweets/germany_2017_07_27_06_00_02.json","3920","412","106","161","83","702","111","15","39","66","669","118","669","116","74","13","191","0","1","1"
"~/tweets/germany_2017_07_27_07_00_02.json","4309","479","219","264","90","546","112","25","56","85","741","120","684","151","87","19","242","0","3","0"
"~/tweets/germany_2017_07_27_08_00_02.json","4589","609","262","291","147","615","173","37","98","58","723","143","771","142","166","16","242","0","2","0"
"~/tweets/germany_2017_07_27_09_00_02.json","5122","493","177","224","121","856","164","32","68","81","731","163","1052","168","126","22","165","0","1","0"
"~/tweets/germany_2017_07_27_10_00_02.json","6212","644","242","242","209","1398","213","43","96","75","863","229","975","156","148","41","173","0","0","0"
